Wall time,Step,Value
1730201550.2339606,0,1.5941880941390991
1730201587.300845,1,1.0894191265106201
1730201624.6060302,2,0.8474844098091125
1730201662.1177409,3,0.6979350447654724
1730201699.8905716,4,0.5857782959938049
1730201737.308078,5,0.5028880834579468
1730201774.5444088,6,0.4343147575855255
1730201812.355956,7,0.3800880014896393
1730201850.0937345,8,0.334000825881958
1730201886.9892762,9,0.2972549796104431
1730201923.9303439,10,0.2651428282260895
1730201960.9010382,11,0.23671211302280426
1730201998.5734987,12,0.2123507261276245
1730202035.8028178,13,0.193026602268219
1730202073.0036387,14,0.17500001192092896
1730202110.2080562,15,0.16140808165073395
1730202147.7132788,16,0.14760182797908783
1730202184.752963,17,0.13286983966827393
1730202221.8613896,18,0.12438816577196121
1730202258.86854,19,0.11491598188877106
1730202295.7506223,20,0.10870881378650665
1730202332.6090052,21,0.10063935816287994
1730202369.6636295,22,0.09554561227560043
1730202406.845053,23,0.08917903155088425
1730202443.9630039,24,0.08285456895828247
1730202481.1582897,25,0.08136588335037231
1730202518.2791367,26,0.07442690432071686
1730202555.4236119,27,0.07344893366098404
1730202592.5778084,28,0.06657808274030685
1730202629.692087,29,0.06620029360055923
1730202666.9297721,30,0.061283618211746216
1730202704.4453423,31,0.05871479958295822
1730202741.9576502,32,0.05452939495444298
1730202779.4680977,33,0.05478506162762642
1730202817.183595,34,0.05171826854348183
1730202854.3395371,35,0.047493401914834976
1730202891.4810543,36,0.04574035480618477
1730202928.874211,37,0.04658859595656395
1730202965.8119106,38,0.04401572048664093
1730203003.146316,39,0.04037334397435188
1730203040.502539,40,0.03999043256044388
1730203077.8154423,41,0.038204632699489594
1730203114.7570765,42,0.03829624503850937
1730203152.2456717,43,0.03927982971072197
1730203189.4310877,44,0.036248765885829926
1730203226.7185178,45,0.03484414517879486
1730203263.9823658,46,0.03362656757235527
1730203301.1927605,47,0.03234640508890152
1730203338.2339818,48,0.03057125397026539
1730203375.65898,49,0.030552098527550697
1730203413.4133399,50,0.029373105615377426
1730203450.981549,51,0.0293564535677433
1730203488.6805642,52,0.026773681864142418
1730203525.960598,53,0.02676265873014927
1730203563.1730103,54,0.02895236201584339
1730203599.870504,55,0.02671096846461296
1730203637.8317008,56,0.02411321923136711
1730203674.9727805,57,0.024104192852973938
1730203711.9790666,58,0.022497955709695816
1730203748.9486687,59,0.0231767725199461
